wavelength,cross section
0.1,1.00E-22
0.5,1.00E-20
1.0,6.80E-20
2.0,1.30E-19
2.25,5.60E-19
2.35,2.90E-20
10.0,1.25E-18
18.0,5.00E-18
20.0,5.70E-18
22.0,6.60E-18
24.0,7.60E-18
26.0,8.30E-18
28.0,9.60E-18
30.0,1.01E-17
32.0,1.06E-17
34.0,1.15E-17
36.0,1.23E-17
38.0,1.32E-17
40.0,1.43E-17
42.0,1.56E-17
44.0,1.72E-17
46.0,1.78E-17
48.0,1.77E-17
50.0,1.83E-17
52.0,1.90E-17
54.0,1.99E-17
56.0,2.07E-17
58.0,2.13E-17
60.0,2.19E-17
62.0,2.25E-17
64.0,2.27E-17
66.0,2.28E-17
68.0,2.27E-17
70.0,2.19E-17
72.0,2.18E-17
72.28,2.18E-17
73.45,2.18E-17
74.2,2.00E-17
75.0,2.17E-17
75.87,1.93E-17
76.66,1.95E-17
77.67,1.78E-17
78.4,1.72E-17
79.36,1.67E-17
80.0,1.60E-17
80.25,1.64E-17
80.86,1.68E-17
81.56,1.71E-17
82.22,1.77E-17
82.97,1.80E-17
83.37,1.76E-17
83.65,1.86E-17
84.42,1.88E-17
84.88,1.83E-17
85.11,1.98E-17
85.26,1.86E-17
85.52,1.88E-17
85.75,1.98E-17
85.92,1.97E-17
86.1,1.78E-17
86.25,1.91E-17
86.5,1.97E-17
86.68,1.98E-17
86.79,1.99E-17
87.02,2.05E-17
87.24,2.06E-17
87.41,2.05E-17
87.77,2.05E-17
87.9,2.07E-17
88.33,2.05E-17
88.58,2.26E-17
88.74,2.08E-17
89.14,2.16E-17
89.3,2.37E-17
89.44,2.28E-17
90.03,2.42E-17
90.3,1.97E-17
90.5,1.91E-17
90.81,2.40E-17
90.9,2.42E-17
91.0,2.32E-17
91.15,2.11E-17
91.55,2.25E-17
91.67,2.57E-17
91.75,2.41E-17
91.86,2.29E-17
92.38,2.25E-17
92.53,2.37E-17
92.62,2.54E-17
92.74,2.34E-17
93.0,1.93E-17
93.24,2.40E-17
93.38,2.43E-17
93.48,2.35E-17
93.63,2.20E-17
94.12,2.29E-17
94.26,2.41E-17
94.34,2.18E-17
94.53,2.06E-17
94.8,2.00E-17
94.94,2.06E-17
95.11,2.02E-17
95.21,2.02E-17
95.82,1.86E-17
95.98,1.94E-17
96.08,1.77E-17
96.33,1.78E-17
96.54,1.67E-17
96.73,1.76E-17
96.84,1.77E-17
97.0,1.38E-17
97.72,1.51E-17
97.8,1.51E-17
98.4,1.32E-17
100.0,8.00E-18
102.0,5.00E-18
104.0,3.00E-18
106.0,1.90E-18
106.5,3.35E-18
107.0,2.30E-18
107.5,1.05E-17
108.0,3.70E-18
108.5,5.20E-18
109.0,1.10E-17
109.5,4.10E-18
110.0,3.70E-18
110.5,2.40E-18
111.0,1.80E-17
111.2,1.90E-17
111.5,1.80E-17
111.8,3.00E-18
112.0,1.85E-17
112.5,1.80E-17
112.6,1.90E-17
113.0,7.40E-18
113.5,2.20E-18
114.0,1.70E-18
115.0,4.10E-18
116.0,1.85E-18
117.2,7.80E-18
118.0,2.60E-18
119.0,1.10E-17
120.0,6.00E-18
120.5,3.70E-18
121.0,7.40E-18
121.5,1.70E-17
121.8,1.85E-17
122.0,1.30E-17
122.5,3.70E-18
123.0,2.60E-18
123.5,7.40E-18
124.0,1.40E-17
124.5,5.60E-18
125.0,6.70E-18
130.0,7.00E-18
130.4,7.00E-18
130.41,7.00E-18
135.0,3.50E-18
140.0,8.00E-19
143.0,5.00E-19
145.0,5.00E-19
150.0,1.00E-18
155.0,2.20E-18
160.0,3.90E-18
165.0,5.00E-18
170.0,4.50E-18
175.0,3.00E-18
180.0,9.50E-19
185.0,5.00E-20
186.0,1.00E-20
186.05,1.00E-35
242.46,1.00E-35
